Year,time_to_event,Census
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,1
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
2014,0,0
2014,0,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,1
2014,0,1
